,circuitId,circuitRef,name,location,country
0,1,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia
1,2,sepang,Sepang International Circuit,Kuala Lumpur,Malaysia
2,3,bahrain,Bahrain International Circuit,Sakhir,Bahrain
3,4,catalunya,Circuit de Barcelona-Catalunya,Montmeló,Spain
4,5,istanbul,Istanbul Park,Istanbul,Turkey
5,6,monaco,Circuit de Monaco,Monte-Carlo,Monaco
6,7,villeneuve,Circuit Gilles Villeneuve,Montreal,Canada
7,8,magny_cours,Circuit de Nevers Magny-Cours,Magny Cours,France
8,9,silverstone,Silverstone Circuit,Silverstone,UK
9,10,hockenheimring,Hockenheimring,Hockenheim,Germany
10,11,hungaroring,Hungaroring,Budapest,Hungary
11,12,valencia,Valencia Street Circuit,Valencia,Spain
12,13,spa,Circuit de Spa-Francorchamps,Spa,Belgium
13,14,monza,Autodromo Nazionale di Monza,Monza,Italy
14,15,marina_bay,Marina Bay Street Circuit,Marina Bay,Singapore
15,16,fuji,Fuji Speedway,Oyama,Japan
16,17,shanghai,Shanghai International Circuit,Shanghai,China
17,18,interlagos,Autódromo José Carlos Pace,São Paulo,Brazil
18,19,indianapolis,Indianapolis Motor Speedway,Indianapolis,USA
19,20,nurburgring,Nürburgring,Nürburg,Germany
20,21,imola,Autodromo Enzo e Dino Ferrari,Imola,Italy
21,22,suzuka,Suzuka Circuit,Suzuka,Japan
22,80,vegas,Las Vegas Strip Street Circuit,Las Vegas,United States
23,24,yas_marina,Yas Marina Circuit,Abu Dhabi,UAE
24,25,galvez,Autódromo Juan y Oscar Gálvez,Buenos Aires,Argentina
25,26,jerez,Circuito de Jerez,Jerez de la Frontera,Spain
26,27,estoril,Autódromo do Estoril,Estoril,Portugal
27,28,okayama,Okayama International Circuit,Okayama,Japan
28,29,adelaide,Adelaide Street Circuit,Adelaide,Australia
29,30,kyalami,Kyalami,Midrand,South Africa
30,31,donington,Donington Park,Castle Donington,UK
31,32,rodriguez,Autódromo Hermanos Rodríguez,Mexico City,Mexico
32,33,phoenix,Phoenix street circuit,Phoenix,USA
33,34,ricard,Circuit Paul Ricard,Le Castellet,France
34,35,yeongam,Korean International Circuit,Yeongam County,Korea
35,36,jacarepagua,Autódromo Internacional Nelson Piquet,Rio de Janeiro,Brazil
36,37,detroit,Detroit Street Circuit,Detroit,USA
37,38,brands_hatch,Brands Hatch,Kent,UK
38,39,zandvoort,Circuit Park Zandvoort,Zandvoort,Netherlands
39,40,zolder,Zolder,Heusden-Zolder,Belgium
40,41,dijon,Dijon-Prenois,Dijon,France
41,42,dallas,Fair Park,Dallas,USA
42,43,long_beach,Long Beach,California,USA
43,44,las_vegas,Las Vegas Street Circuit,Nevada,USA
44,45,jarama,Jarama,Madrid,Spain
45,46,watkins_glen,Watkins Glen,New York State,USA
46,47,anderstorp,Scandinavian Raceway,Anderstorp,Sweden
47,48,mosport,Mosport International Raceway,Ontario,Canada
48,49,montjuic,Montjuïc,Barcelona,Spain
49,50,nivelles,Nivelles-Baulers,Brussels,Belgium
50,51,charade,Charade Circuit,Clermont-Ferrand,France
51,52,tremblant,Circuit Mont-Tremblant,Quebec,Canada
52,53,essarts,Rouen-Les-Essarts,Rouen,France
53,54,lemans,Le Mans,Le Mans,France
54,55,reims,Reims-Gueux,Reims,France
55,56,george,Prince George Circuit,Eastern Cape Province,South Africa
56,57,zeltweg,Zeltweg,Styria,Austria
57,58,aintree,Aintree,Liverpool,UK
58,59,boavista,Circuito da Boavista,Oporto,Portugal
59,60,riverside,Riverside International Raceway,California,USA
60,61,avus,AVUS,Berlin,Germany
61,62,monsanto,Monsanto Park Circuit,Lisbon,Portugal
62,63,sebring,Sebring International Raceway,Florida,USA
63,64,ain-diab,Ain Diab,Casablanca,Morocco
64,65,pescara,Pescara Circuit,Pescara,Italy
65,66,bremgarten,Circuit Bremgarten,Bern,Switzerland
66,67,pedralbes,Circuit de Pedralbes,Barcelona,Spain
67,68,buddh,Buddh International Circuit,Uttar Pradesh,India
68,69,americas,Circuit of the Americas,Austin,USA
69,70,red_bull_ring,Red Bull Ring,Spielberg,Austria
70,71,sochi,Sochi Autodrom,Sochi,Russia
71,73,baku,Baku City Circuit,Baku,Azerbaijan
72,75,portimao,Autódromo Internacional do Algarve,Portimão,Portugal
73,76,mugello,Autodromo Internazionale del Mugello,Mugello,Italy
74,77,jeddah,Jeddah Corniche Circuit,Jeddah,Saudi Arabia
75,78,losail,Losail International Circuit,Al Daayen,Qatar
76,79,miami,Miami International Autodrome,Miami,USA
